id,name,region,coatOfArms,words 
5e5aef1f8201264f9db85f84,House Algood,The Westerlands,A golden wreath on a blue field with a gold border(Azure a garland of laurel within a bordure or),
5e5aef1f8201264f9db85f85,House Allyrion of Godsgrace,Dorne,Gyronny Gules and Sable a hand couped Or,No Foe May Pass
5e5aef1f8201264f9db85f86,House Amber,The North,,
5e5aef1f8201264f9db85f87,House Ambrose,The Reach,Or semy of ants gules,Never Resting
5e5aef1f8201264f9db85f88,House Appleton of Appleton,The Reach,Or an apple tree eradicated proper fructed gules quartered with argent a gatehouse cendrée,
5e5aef1f8201264f9db85f89,House Arryn of Gulltown,The Vale,,
5e5aef1f8201264f9db85f8a,House Arryn of the Eyrie,The Vale,A sky-blue falcon soaring against a white moon on a sky-blue field(Bleu celeste upon a plate a falcon volant of the field),As High as Honor
5e5aef1f8201264f9db85f8b,House Ashford of Ashford,The Reach,Tenny a sun in splendour beneath a chevron inverted argent,Our Sun Shines Bright
5e5aef1f8201264f9db85f8c,House Ashwood,The North,,
5e5aef1f8201264f9db85f8d,House Baelish of Harrenhal,The Riverlands,A field of silver mockingbirds on a green field(Vert semé of mockingbirds argent),
5e5aef1f8201264f9db85f8e,House Baelish of the Fingers,The Vale,A grey stone head with fiery eyes on a light green field(Vert a stone head cendrée orbed gules),
5e5aef1f8201264f9db85f8f,House Ball,The Reach,Three white plates upon a chevron red on a white field,
5e5aef1f8201264f9db85f90,House Banefort of Banefort,The Westerlands,A black hooded man on a grey field within a fiery tressure(Cendrée a hooded man sable within a tressure rayonné along the outer edge gules),
5e5aef1f8201264f9db85f91,House Bar Emmon of Sharp Point,The Crownlands,Fretty argent and white a swordfish embowed haurient azure,
5e5aef1f8201264f9db85f92,House Baratheon of Dragonstone,The Crownlands,Or a heart gules enflamed proper charged with a stag's head sable crowned of the field,
5e5aef1f8201264f9db85f93,House Baratheon of King's Landing,The Crownlands,A black crowned stag and a gold lion combatant on a per pale gold and crimson field(Per pale or and gules a stag crowned sable and a lion of the first combatant),
5e5aef1f8201264f9db85f94,House Baratheon of Storm's End,The Stormlands,A black crowned stag on a gold field(Or a stag salient crowned sable),Ours is the Fury
5e5aef1f8201264f9db85f95,House Beesbury of Honeyholt,The Reach,Paly or and sable on a pale of the last three beehives of the first,Beware our Sting
5e5aef1f8201264f9db85f96,House Belmore of Strongsong,The Vale,Six silver bells 3 2 1 on a purple field(Purpure six bells 3 2 1 argent),
5e5aef1f8201264f9db85f97,House Bettley,The Westerlands,Three blue beetles on a gold field(Or three beetles azure),
5e5aef1f8201264f9db85f98,House Bigglestone,The Riverlands,,
5e5aef1f8201264f9db85f99,House Blackbar of Bandallon,The Reach,Argent a fess sable,
5e5aef1f8201264f9db85f9a,House Blackmont of Blackmont,Dorne,A black vulture with a pink infant in its claws on yellow,
5e5aef1f8201264f9db85f9b,House Blackmyre,The Neck,,
5e5aef1f8201264f9db85f9c,House Blacktyde of Blacktyde,Iron Islands,Vairy vert and sable,
5e5aef1f8201264f9db85f9d,House Blackwood of Raventree Hall,The Riverlands,A flock of ravens surrounding a black shield charged with a dead weirwood on a scarlet field(Gules on an escutcheon sable a dead weirwood tree proper all within an orle of ravens volant sable),
5e5aef1f8201264f9db85f9e,House Blanetree,The Riverlands,Green and brown maple leaves strewn across a yellow field(Or semé of maple leaves vert and tenné),
5e5aef1f8201264f9db85f9f,House Blount,The Crownlands,A red bend sinister between two black porcupines on a green field(Vert a bend sinister gules between two porcupines sable),
5e5aef1f8201264f9db85fa0,House Boggs,The North,,
5e5aef1f8201264f9db85fa1,House Boggs of Crackclaw Point,The Crownlands,,
5e5aef1f8201264f9db85fa2,House Bole,The North,,
5e5aef1f8201264f9db85fa3,House Bolling,The Stormlands,Vairy orange and blue upon a black canton a golden stag beneath an orange bend sinister(Vairy tenné and azure on a canton sable a stag or debruised by a bend sinister of the first),
5e5aef1f8201264f9db85fa4,House Bolton of the Dreadfort,The North,A red flayed man on pink de sang,Our Blades are Sharp
5e5aef1f8201264f9db85fa5,House Borrell of Sweetsister,The Vale,A white spider crab on a grey-green field(Vert-cendrée a spider crab argent),
5e5aef1f8201264f9db85fa6,House Botley of Lordsport,Iron Islands,Vert semy of fishes argent,
5e5aef1f8201264f9db85fa7,House Bracken of Stone Hedge,The Riverlands,A red stallion upon a gold shield on a brown field(Tenné on an escutcheon or a stallion rampant gules),
5e5aef1f8201264f9db85fa8,House Branch,The North,,
5e5aef1f8201264f9db85fa9,House Branfield,The North,,
5e5aef1f8201264f9db85faa,House Brax of Hornvale,The Westerlands,A purple unicorn on a silver field(Argent a unicorn rampant purpure),
5e5aef1f8201264f9db85fab,House Breakstone,The Vale,A red sledge,
5e5aef1f8201264f9db85fac,House Briar,Dorne,,
5e5aef1f8201264f9db85fad,House Bridges,The Reach,A black stone bridge with three arches upon a golden chief above three blue pallets on white,
5e5aef1f8201264f9db85fae,House Brightstone,The Vale,,
5e5aef1f8201264f9db85faf,House Brook,Dorne,,
5e5aef1f8201264f9db85fb0,House Broom,The Westerlands,A silver helm crested with a sprig of broom on a checkered black and green field(Chequy sable and vert a helm argent crested with a sprig of broom proper),
5e5aef1f8201264f9db85fb1,House Brownhill,Dorne,,
5e5aef1f8201264f9db85fb2,House Brune of Brownhollow,The Crownlands,Argent a bear's paw erased within a double tressure tenné,
5e5aef1f8201264f9db85fb3,House Brune of the Dyre Den,The Crownlands,,
5e5aef1f8201264f9db85fb4,House Buckler of Bronzegate,The Stormlands,Three brass buckles on a blue field(Azure three buckles or),
5e5aef1f8201264f9db85fb5,House Buckwell of the Antlers,The Crownlands,A rack of golden antlers on a field of vair(Vair a stag's attire or),Pride and Purpose
5e5aef1f8201264f9db85fb6,House Bulwer of Blackcrown,The Reach,Sanguine a bull`s skull argent,Death Before Disgrace
5e5aef1f8201264f9db85fb7,House Burley,The North,White upon a pile azure a knife white,
5e5aef1f8201264f9db85fb8,House Bushy,The Reach,A green fess embattled on white,
5e5aef1f8201264f9db85fb9,House Butterwell,The Riverlands,Barry wavy green white and yellow(Barry wavy vert argent and or),
5e5aef1f8201264f9db85fba,House Byrch,The Crownlands,Gryonny white and black quartered with a silver axe on a green field(Quarterly first and fourth gyronny argent and sable second and third vert an axe palewise argent),
5e5aef1f8201264f9db85fbb,House Bywater,The Crownlands,Blue frets on a white field three silver fish on a blue chief(Argent fretty azure on a chief of the second three fish of the field),
5e5aef1f8201264f9db85fbc,House Cafferen of Fawnton,The Stormlands,Two white fawns counter salient on a green field(Vert two fawns counter-salient argent),
5e5aef1f8201264f9db85fbd,House Cargyll,The Crownlands,Bendy sinister sable and gules a goose Or,
5e5aef1f8201264f9db85fbe,House Caron of Nightsong,The Stormlands,A field of black nightingales on yellow(Or semé of nightingales sable),No Song so Sweet
5e5aef1f8201264f9db85fbf,House Cassel,The North,Ten white wolf heads 4-3-2-1 on grey with a black border,
5e5aef1f8201264f9db85fc0,House Casterly of Casterly Rock,The Westerlands,,
5e5aef1f8201264f9db85fc1,House Caswell of Bitterbridge,The Reach,Argent a centaur with bow or,
5e5aef1f8201264f9db85fc2,House Cave,The Crownlands,,
5e5aef1f8201264f9db85fc3,House Celtigar of Claw Isle,The Crownlands,Argent semy of crabs gules,
5e5aef1f8201264f9db85fc4,House Cerwyn of Cerwyn,The North,Argent a battle-axe paleways sable,Honed and Ready
5e5aef1f8201264f9db85fc5,House Chambers,The Riverlands,,
5e5aef1f8201264f9db85fc6,House Charlton,The Riverlands,Three sprigs of mistletoe green and red on a gold field within a green border(Or three sprigs of mistletoe vert fructed gules within a bordure of the second),
5e5aef1f8201264f9db85fc7,House Chelsted,The Crownlands,Per bend green and white shield a spiked mace and a silver dagger crossed(Per bend vert and argent in pale a mace surmounted by a dagger in fesse of the second),
5e5aef1f8201264f9db85fc8,House Chester of Greenshield,The Reach,A green hand on a gold escutcheon on a green field a border of red rayonne,
5e5aef1f8201264f9db85fc9,House Chyttering,The Crownlands,Three golden enhanced bendlets on a white shield(Argent three bendlets enhanced or),
5e5aef1f8201264f9db85fca,House Clegane,The Westerlands,Three dogs on a yellow field(Or three dogs courant in pale sable),
5e5aef1f8201264f9db85fcb,House Clifton,The Westerlands,,
5e5aef1f8201264f9db85fcc,House Cockshaw,The Reach,Sable three feathers in fess gules argent and or,
5e5aef1f8201264f9db85fcd,House Codd,Iron Islands,,Though All Men Do Despise Us
5e5aef1f8201264f9db85fce,House Coldwater of Coldwater Burn,The Vale,A blue pall with white borders on a red field(Gules a pall azure fimbriated argent),
5e5aef1f8201264f9db85fcf,House Cole,The Stormlands,Ten black pellets on a scarlet field(Gules ten pellets 4 3 2 1),
5e5aef1f8201264f9db85fd0,House Condon,The North,An eagle's head between crossed tridents red on white,
5e5aef1f8201264f9db85fd1,House Conklyn,The Reach,,
5e5aef1f8201264f9db85fd2,House Connington of Griffin's Roost,The Stormlands,Two combatant griffins counterchanged on a red and white field(Per pale gules and argent two griffins combatant counterchanged),
5e5aef1f8201264f9db85fd3,House Cordwayner of Hammerhal,The Reach,Lozengny vert and or a pair of boots sable,
5e5aef1f8201264f9db85fd4,House Costayne of Three Towers,The Reach,Quarterly; sable a chalice argent; or a rose sable,
5e5aef1f8201264f9db85fd5,House Crabb,The Crownlands,,
5e5aef1f8201264f9db85fd6,House Crakehall of Crakehall,The Westerlands,A brindled boar on a brown field(Tenné a boar brindled sable and argent),None so Fierce
5e5aef1f8201264f9db85fd7,House Crane of Red Lake,The Reach,Azure cranes in chevron or,
5e5aef1f8201264f9db85fd8,House Cray,The Neck,,
5e5aef1f8201264f9db85fd9,House Cressey,The Crownlands,Seven silver coins on a red bend sinister between two silver helmets on a blue field(Azure on a bend sinister gules seven plates between two helmets argent),
5e5aef1f8201264f9db85fda,House Crowl of Deepdown,The North,Pily gules and sable,
5e5aef1f8201264f9db85fdb,House Cuy of Sunhouse,The Reach,Six yellow flowers on blue,
5e5aef1f8201264f9db85fdc,House Dalt of Lemonwood,Dorne,Purpure semy of lemons Or,
5e5aef1f8201264f9db85fdd,House Dargood,The Crownlands,,
5e5aef1f8201264f9db85fde,House Darke,The Crownlands,,
